timestamp,norm_min_cpu,norm_max_cpu,norm_avg
1/1/2017 22:25,0.2203,0.3471,0.2837
1/1/2017 22:30,0.2266,0.3152,0.2709
1/1/2017 22:35,0.2202,0.3402,0.2802
1/1/2017 22:40,0.2141,0.3443,0.2792
1/1/2017 22:45,0.1993,0.3296,0.2645
1/1/2017 22:50,0.2000,0.3089,0.2544
1/1/2017 22:55,0.2167,0.3282,0.2725
1/1/2017 23:00,0.1913,0.2973,0.2443
1/1/2017 23:05,0.1855,0.2793,0.2324
1/1/2017 23:10,0.1878,0.2990,0.2434
1/1/2017 23:15,0.1938,0.2819,0.2378
1/1/2017 23:20,0.1685,0.2525,0.2105
1/1/2017 23:25,0.1577,0.2806,0.2192
1/1/2017 23:30,0.1875,0.2533,0.2204
1/1/2017 23:35,0.1951,0.2616,0.2283
1/1/2017 23:40,0.1988,0.2576,0.2282
1/1/2017 23:45,0.1858,0.2239,0.2049
1/1/2017 23:50,0.1713,0.2092,0.1903
1/1/2017 23:55,0.1567,0.2194,0.1881
1/2/2017 0:00,0.1361,0.2042,0.1702
1/2/2017 0:05,0.1197,0.1875,0.1536
1/2/2017 0:10,0.1171,0.1930,0.1550
1/2/2017 0:15,0.1128,0.1822,0.1475
1/2/2017 0:20,0.1044,0.1897,0.1471
1/2/2017 0:25,0.1241,0.2402,0.1822
1/2/2017 0:30,0.1215,0.2112,0.1664
1/2/2017 0:35,0.1207,0.2169,0.1688
1/2/2017 0:40,0.1248,0.2137,0.1693
1/2/2017 0:45,0.1257,0.1942,0.1600
1/2/2017 0:50,0.1005,0.1822,0.1414
1/2/2017 0:55,0.1135,0.1995,0.1565
1/2/2017 1:00,0.1166,0.1796,0.1481
1/2/2017 1:05,0.1037,0.1754,0.1396
1/2/2017 1:10,0.0995,0.1816,0.1405
1/2/2017 1:15,0.0958,0.1775,0.1366
1/2/2017 1:20,0.0906,0.1590,0.1248
1/2/2017 1:25,0.0969,0.1962,0.1465
1/2/2017 1:30,0.1044,0.1872,0.1458
1/2/2017 1:35,0.0909,0.1811,0.1360
